recall-0	recall-1	gmean
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
3.3333333333333335	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
99.65139032941362	0.0	0.0
89.54170988240871	0.0	0.0
89.54170988240871	0.0	0.0
89.54170988240871	0.0	0.0
89.54170988240871	0.0	0.0
89.54170988240871	0.0	0.0
89.54170988240871	0.16150988509195174	3.8028767103397807
89.57501810482725	4.845296552758554	20.833087299692394
90.56870826839716	4.845296552758554	20.948323320988244
91.12482988490711	4.845296552758554	21.012539687340272
83.95401991601251	4.845296552758554	20.168840405171498
85.13879022718919	4.8377606959075425	20.29485385653745
85.13879022718919	4.762320080192003	20.135991912547983
85.13879022718919	9.04423391233422	27.74914654233268
85.13879022718919	12.995482308457813	33.26288685849348
85.13879022718919	16.65276767428747	37.6536385190499
85.13879022718919	20.04755443581268	41.3137329671238
85.13879022718919	23.206971303947928	44.45012330303732
85.13879022718919	26.154533242529148	47.188614296520036
85.13879022718919	28.910723818714636	49.612740808362396
85.13879022718919	31.49346845286121	51.781423349834164
85.13879022718919	33.91852169240773	53.73808615112998
85.13879022718919	36.19978619722579	55.51581759566101
85.13879022718919	38.349577083960114	57.14049876097252
85.13879022718919	40.37884224623736	58.63280463715826
85.17418881478075	42.236692651764294	59.97896326907656
86.20074785493584	42.29734697367321	60.382637748034306
86.20074785493584	44.1138294415997	61.66559079917244
86.20074785493584	45.83613229624987	62.85784662804252
86.20074785493584	47.47131451587122	63.96923333075808
86.00731072375703	48.97635432610493	64.90242310301002
80.3976339195719	48.928943585299685	62.71978391578139
80.43923747797596	47.55403210194762	61.848282767461356
81.6457406716941	47.603852906298656	62.34301748681348
81.6827110354922	49.048656232478756	63.29634439457587
82.78792031541192	49.048656232478756	63.723121735775656
83.7469134788853	49.096178148005144	64.1221754427041
83.7469134788853	50.51969001358543	65.04512363388854
83.77666582329398	51.83560315772341	65.89851290805792
84.66639354309163	51.83560315772341	66.24751751194405
85.47123052155598	51.83560315772341	66.56164651447313
86.18041833047454	51.878973832625235	66.8651752966474
86.18041833047454	53.178216488206644	67.69727426582394
86.18041833047454	54.42124877837518	68.48391041541947
86.20273832094918	55.57350203008225	69.21407409680432
86.7149408009648	55.57350203008225	69.41939886401265
82.82350924264304	55.57350203008225	67.84388298906954
83.57195604415345	55.61158248558728	68.17307919575963
83.57195604415345	56.66805342784385	68.81758547187998
83.57195604415345	55.2341008875334	67.94131181770983
83.45081454228814	53.90164409278372	67.06814523088673
79.9377109881943	53.9393955717463	65.66423542608368
79.9377109881943	55.070483713127956	66.34914024341298
79.96584995162742	56.12304600566477	66.99199262387462
80.7818798911879	56.15796596391179	67.35388675815331
80.7818798911879	57.204264466820405	67.9784379154334
80.7818798911879	58.21162532332391	68.57437221834104
80.67209835561557	59.15091090232864	69.07841994528327
77.48843382401783	59.18213430314527	67.71950160414212
77.51811352006308	60.087612926827596	68.24865126880846
78.37882470537515	60.04227068332582	68.60060210232182
78.37882470537515	58.75810136352985	67.8630306337167
78.40651225347253	59.65001787444243	68.38822893884829
79.23533934472847	59.65001787444243	68.74874113902425
80.01035458301943	59.65001787444243	69.08414493223164
80.713823294157	59.60611011040576	69.36163953298217
80.713823294157	58.363089599675845	68.6345984241861
80.61850796298648	59.24192434334919	69.1085779727592
77.85436335904161	59.199340873361024	67.88907861335586
77.85436335904161	57.994290261796095	67.19455741941904
77.85436335904161	58.819163222533355	67.67073596468335
77.87986676614737	57.61979386858114	66.98822187204236
78.61946557221408	57.64924546089658	67.32275149440252
78.61946557221408	58.531869743517085	67.83615789663916
78.53109502819139	59.3591848022286	68.27548449113918
75.99473561196051	59.3591848022286	67.1638709068117
76.75994006435036	59.38683081108563	67.5168836193633
76.75994006435036	60.21536793622827	67.98623414881638
76.7848850453268	60.99265111659882	68.43474048023974
77.53190689908641	60.99265111659882	68.76682737992643
78.13640892433332	60.99265111659882	69.0343880180433
75.82909343185992	60.99265111659882	68.00748076629075
76.46010027860801	60.99265111659882	68.28985444876346
74.29429117146597	60.99265111659882	67.3157171942499
75.04035872163023	60.99265111659882	67.65286704325852
75.72861109779751	61.018647542574094	67.97688893635227
75.75124883034451	61.772543895857105	68.4057551931009
76.40774307420699	61.79776848124989	68.71555876709924
76.42935871992944	62.5292814576406	69.130838871125
77.05621244588066	62.55376685529745	69.42734582347138
77.05621244588066	63.28762043656586	69.8334040811006
77.05621244588066	64.00025271468301	70.22547308329553
77.05621244588066	64.62900339947745	70.56958421385008
77.05621244588066	63.39753878350401	69.89402132548709
77.05621244588066	62.200378584966856	69.23095829509666
77.07687267659598	61.073952548049206	68.6104165881716
77.67601936734077	61.03616707248866	68.85525757435576
77.67601936734077	59.964962155811556	68.2483667334001
77.67601936734077	60.701525156008884	68.666242387692
77.67601936734077	61.4185155857642	69.07058567981845
77.67601936734077	62.11666856887056	69.46204395776356
77.67601936734077	62.79668295621073	69.84122250871174
77.67601936734077	63.45922353658893	70.2086880411854
77.67601936734077	64.10492308780123	70.56497181541235
77.60724445900851	64.71390756020149	70.86796204154763
75.61277211737301	64.67635370989633	69.93109747779599
75.61277211737301	63.55066337033234	69.31985161069535
75.63401294973853	62.488431629616116	68.74773339596904
76.27035455450068	62.488431629616116	69.03632982673322
76.88024819079372	62.488431629616116	69.31180370426333
77.44653460099609	62.50988351508086	69.57854451305334
77.38216382883667	63.13198819355831	69.89484854575558
75.51541143621394	63.1529222373098	69.05808356846919
75.51541143621394	63.78044321562551	69.40033437248009
75.5354626812504	64.37302079177245	69.73124055755987
76.13622657458421	64.37302079177245	70.00799166018696
76.63424361837325	64.37302079177245	70.23658418379482
74.86411878858006	64.39297089692006	69.43142676322158
74.8838496747021	64.9715239462007	69.75183031522256
75.45604537224152	64.99100644192204	70.02831092400638
75.45604537224152	65.57502900411524	70.34225162603606
75.45604537224152	66.14549692527756	70.64755917342937
75.39760651212191	66.68467998205055	70.90744151126468
73.70287956865351	66.7028488539128	70.11556200991356
73.64654405173148	67.22974613791779	70.36503720266825
72.01281406099224	67.24750479231619	69.58938179546324
72.01281406099224	67.7798670775303	69.86428962590945
71.95847303475813	68.28334499968965	70.0968276021337
70.3301352647998	68.28334499968965	69.29918390689146
68.83210226760913	68.28334499968965	68.55717457854483
69.49792106037927	68.24679642166646	68.86951771529077
69.52010528156296	67.18688765899405	68.34354032089507
70.18489439843533	67.18688765899405	68.66953192869481
70.82759310265136	67.18688765899405	68.98322651880513
71.42917868446801	67.20434509002703	69.28456663506088
71.42917868446801	67.72768759446643	69.55381441064876
71.44925359296836	68.22292072447254	69.81745314529753
72.05086234897455	68.22292072447254	70.1107714275344
72.61451822434448	68.18704985115308	70.3659702845121
72.61451822434448	67.16396922361345	69.83608857322545
72.61451822434448	67.67884530010248	70.10325773776054
72.61451822434448	68.18278550268319	70.36376994214537
72.56459722548495	68.65999824772076	70.58530384115633
71.1168882585585	68.62470060575228	69.85968196861704
71.1168882585585	67.56650317848117	69.31896895198011
71.1168882585585	66.58110034218554	68.81163181590072
71.13653606235222	67.074264455378	69.07554438645957
71.70632237237011	67.09092304647422	69.36024334033407
71.70632237237011	67.59034341302628	69.61792121310191
71.70632237237011	68.07965213558724	69.8694603030053
71.70632237237011	68.50930118092947	70.08958578837176
71.72537096270976	67.51883854260228	69.590327930248
72.29625554061016	67.51883854260228	69.86672459104672
