recall-0	recall-1	gmean
3.3333333333333335	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.0	0.0
100.0	0.12805755339424896	3.5785130067424507
100.0	3.8417266018274705	19.600322961184773
100.0	3.8417266018274705	19.600322961184773
100.0	3.8417266018274705	19.600322961184773
100.0	3.8417266018274705	19.600322961184773
100.0	3.8417266018274705	19.600322961184773
100.0	3.8417266018274705	19.600322961184773
100.0	3.8417266018274705	19.600322961184773
100.0	3.8417266018274705	19.600322961184773
100.0	3.8417266018274705	19.600322961184773
100.0	3.8417266018274705	19.600322961184773
100.0	3.8417266018274705	19.600322961184773
100.0	3.836942919895094	19.588116090872788
100.0	3.6982161438561567	19.230746589397295
100.0	3.6982161438561567	19.230746589397295
100.0	3.6982161438561567	19.230746589397295
